,word,x,y
162,tanah,-1.5580205,-0.74073005
163,petanya,-0.01355461,0.36063698
164,dijadikannya,-0.018642383,0.04523949
165,mereka,0.046394177,-1.2681823e-05
166,laki,0.59230626,-0.11775985
167,perempuan,1.1300215,-0.8556869
168,keduanya,1.0166471,-0.03861894
169,kepadanya,-0.10763797,-0.022230139
170,penuhilah,0.91476923,-0.7067971
171,olehmu,0.8155461,-0.97373754
172,taklukkanlah,0.27992344,1.1517775
173,perintahkanlah,0.34851813,0.0046817986
174,Lagi,-0.13857438,-0.029845688
175,sesungguhnya,0.44092506,0.13238417
176,Aku,0.046390522,-1.5332524e-05
177,telah,0.04639108,-1.3314788e-05
178,memberikan,0.033449046,0.389979
179,tumbuh,-0.46811193,1.2230831
180,tumbuhan,0.8972219,0.25866264
181,biji,-0.25035954,-0.54418147
182,seluruh,0.16164687,-0.11440423
183,makananmu,-0.35776073,-0.47801042
184,tetapi,0.45709553,1.1739217
185,nyawa,-0.75545233,-1.5698977
186,mengaruniakan,-1.7029325,-0.32432327
187,hijau,-0.32682562,0.6794163
188,makanannya,-0.8591499,0.94142383
189,sesuatu,0.08890811,0.11627292
190,amat,-1.5059663,-0.82730436
191,keenam,0.036720064,-0.005639855
192,Demikianlah,0.896142,-0.7609532
193,sudah,0.04638749,-1.3613151e-05
194,isinya,-0.24034163,-0.13977133
195,ketujuh,-0.38455015,-0.47932136
196,setelah,0.9748211,-1.4338357
197,disampaikan,-0.24512155,-0.103387
198,pekerjaan,-0.18262476,-1.2710087
199,diperbuat,0.18110448,-0.07949712
200,berhentilah,0.5053021,-1.693252
201,la,-0.90725756,0.429085
202,disucikannya,0.77111465,1.120114
203,karena,0.046390302,-1.4441041e-05
204,berhenti,0.11992564,-1.6836253
205,menyempurnakan,0.06654168,-0.040057722
206,demikianlah,-1.6067889,-0.6206179
207,asalnya,0.46489114,-0.5656017
208,tatkala,1.0966021,-0.44665608
209,Tuhan,0.046389244,-1.3573781e-05
